Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",4,Afghanistan,G,CON_USD_M,4.88931,1.3985,14.33227,27.62503,44.79318,111.01267,67.85544,52.74869,103.0272,89.32316,114.62019,171.48162,138.7019,151.73981,102.32336,82.83948,146.33683,102.2751,147.61768,156.0672,149.18243,79.47927
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",2,Africa,G,CON_USD_M,1514.50676,1910.22204,1000.58126,1103.29662,1483.58111,1729.65427,1860.04355,2041.37725,2347.19939,2534.58934,2705.19918,2973.17926,3167.79447,3217.11517,3416.37453,3678.98665,3865.53606,3354.42957,4023.94576,4098.66312,3575.75951,3215.17719
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",8,Albania,G,CON_USD_M,118.13218,20.8371,33.36381,33.05003,27.72273,39.98851,42.71248,42.90606,46.73945,35.3242,40.74531,48.34769,43.81441,42.08216,83.58903,92.5239,75.83034,65.23012,26.83503,51.00228,51.59717,47.52588
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",12,Algeria,G,CON_USD_M,0.59499,22.45638,1.57936,3.89597,2.73396,50.56134,8.95138,6.88174,4.85404,16.34716,11.95581,18.39639,3.83879,11.52377,6.70275,5.38522,10.28854,4.2984,4.61172,8.26787,3.20681,1.27905
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",24,Angola,G,CON_USD_M,28.6924,12.07951,18.69365,9.42951,12.15498,19.76236,16.2261,42.75142,22.44972,15.45593,9.33597,11.17559,27.63016,23.9132,26.17439,36.75586,46.77769,53.1103,25.84849,23.75918,4.87562,12.72926
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",660,Anguilla,G,CON_USD_M,0.10808,,0.0221,,,,,,,,,,0.01478,0.0088,,,,,,,,
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",28,Antigua and Barbuda,G,CON_USD_M,,,,,,,,,,,0.04729,0.01782,0.00888,0.00632,0.02772,0.0395,0.01582,0.41157,0.00903,1.25198,0.00388,0.97113
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",32,Argentina,G,CON_USD_M,0.07104,0.02812,2.55548,3.96648,1.31117,0.44195,0.26078,1.16929,0.63142,2.78078,1.4663,1.2638,1.02667,2.36155,0.50462,3.83691,5.71651,12.63905,44.40362,21.91889,34.62958,64.20813
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",51,Armenia,G,CON_USD_M,14.49253,51.89031,23.48466,25.29819,26.08902,28.96306,19.57481,22.37494,32.22994,38.74644,87.94449,107.07132,43.9191,41.04819,43.00281,42.74087,37.87637,89.92973,69.84043,6.95613,16.10955,22.45909
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",142,Asia,G,CON_USD_M,2728.75916,3681.53478,1310.07439,1436.90302,1538.10345,3237.38408,2973.10441,2691.28784,2678.14874,2677.03485,3288.52471,3291.58824,3191.67742,3366.86143,3781.72523,4147.00853,4079.02158,4378.13153,4310.98302,3912.91766,3619.91575,3472.51294
