Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Units,2021
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),2,Africa,G,KMSQ,27651.28
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),19,Americas,G,KMSQ,67613.41
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),51,Armenia,G,KMSQ,283
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),142,Asia,G,KMSQ,646391.19
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),40,Austria,G,KMSQ,0.77
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),50,Bangladesh,G,KMSQ,4401.09
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),112,Belarus,G,KMSQ,1333.03
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),204,Benin,G,KMSQ,8.77
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),76,Brazil,G,KMSQ,41157.4
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),100,Bulgaria,G,KMSQ,756.5
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),29,Caribbean,G,KMSQ,1833.22
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),135,Caucasus and Central Asia,G,KMSQ,893
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),13,Central America,G,KMSQ,10228.4
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),62,Central and Southern Asia,G,KMSQ,44562.88
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),156,China,G,KMSQ,368079.8
6,6.6,6.6.1,EN_WBE_HMWTL,Extent of human made wetlands (square kilometres),188,Costa Rica,G,KMSQ,259.9
