"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Activity","Location","Reporting Type","Units","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","8","Albania","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","8","Albania","TOTAL","ALLAREA","G","PERCENT","48.99292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","20","Andorra","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","20","Andorra","TOTAL","ALLAREA","G","PERCENT","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","32","Argentina","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","32","Argentina","TOTAL","ALLAREA","G","PERCENT","35.7508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","51","Armenia","INDUSTRIES","ALLAREA","G","PERCENT","21.81373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","51","Armenia","TOTAL","ALLAREA","G","PERCENT","49.84479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","36","Australia","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","36","Australia","TOTAL","ALLAREA","G","PERCENT","99.1264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","40","Austria","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","40","Austria","TOTAL","ALLAREA","G","PERCENT","70.98544","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","31","Azerbaijan","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","31","Azerbaijan","TOTAL","ALLAREA","G","PERCENT","59.90917","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
