Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Location,Reporting Type,Units,2022
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",8,Albania,INDUSTRIES,ALLAREA,G,PERCENT,NaN
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",8,Albania,TOTAL,ALLAREA,G,PERCENT,24.22428
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",20,Andorra,INDUSTRIES,ALLAREA,G,PERCENT,NaN
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",20,Andorra,TOTAL,ALLAREA,G,PERCENT,100
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",32,Argentina,INDUSTRIES,ALLAREA,G,PERCENT,NaN
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",32,Argentina,TOTAL,ALLAREA,G,PERCENT,19.30543
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",51,Armenia,INDUSTRIES,ALLAREA,G,PERCENT,0.19608
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",51,Armenia,TOTAL,ALLAREA,G,PERCENT,0.17738
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",36,Australia,INDUSTRIES,ALLAREA,G,PERCENT,NaN
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",36,Australia,TOTAL,ALLAREA,G,PERCENT,81.27569
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",40,Austria,INDUSTRIES,ALLAREA,G,PERCENT,NaN
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",40,Austria,TOTAL,ALLAREA,G,PERCENT,69.83601
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",31,Azerbaijan,INDUSTRIES,ALLAREA,G,PERCENT,NaN
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",31,Azerbaijan,TOTAL,ALLAREA,G,PERCENT,55.58216
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",48,Bahrain,INDUSTRIES,ALLAREA,G,PERCENT,51.53374
6,6.3,6.3.1,EN_WWT_TREATR_SF,"Proportion of wastewater safely treated, by activity and location (%)",48,Bahrain,TOTAL,ALLAREA,G,PERCENT,98.08396
