"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Activity","Location","Reporting Type","Units","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","8","Albania","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","8","Albania","TOTAL","ALLAREA","G","M_M3_PER_YR","17.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","12","Algeria","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","12","Algeria","TOTAL","ALLAREA","G","M_M3_PER_YR","222.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","20","Andorra","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","20","Andorra","TOTAL","ALLAREA","G","M_M3_PER_YR","20.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","32","Argentina","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","32","Argentina","TOTAL","ALLAREA","G","M_M3_PER_YR","1033.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","51","Armenia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","51","Armenia","TOTAL","ALLAREA","G","M_M3_PER_YR","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","36","Australia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","36","Australia","TOTAL","ALLAREA","G","M_M3_PER_YR","1761.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","40","Austria","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","40","Austria","TOTAL","ALLAREA","G","M_M3_PER_YR","1056.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","31","Azerbaijan","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","31","Azerbaijan","TOTAL","ALLAREA","G","M_M3_PER_YR","245.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","48","Bahrain","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","48","Bahrain","TOTAL","ALLAREA","G","M_M3_PER_YR","166.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","50","Bangladesh","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","50","Bangladesh","TOTAL","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","112","Belarus","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","112","Belarus","TOTAL","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","56","Belgium","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","56","Belgium","TOTAL","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","84","Belize","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","84","Belize","TOTAL","ALLAREA","G","M_M3_PER_YR","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","68","Bolivia (Plurinational State of)","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","68","Bolivia (Plurinational State of)","TOTAL","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","70","Bosnia and Herzegovina","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","70","Bosnia and Herzegovina","TOTAL","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","76","Brazil","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","76","Brazil","TOTAL","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","100","Bulgaria","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","15.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
