Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),4,Afghanistan,_T,A,G,PERCENT,12,12,
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),2,Africa,_T,A,G,PERCENT,43,49,48
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),8,Albania,_T,A,G,PERCENT,43,47,47
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),12,Algeria,_T,A,G,PERCENT,48,54,60
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),19,Americas,_T,A,G,PERCENT,55,65,59
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),20,Andorra,_T,A,G,PERCENT,36,36,36
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),24,Angola,_T,A,G,PERCENT,37,61,62
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),28,Antigua and Barbuda,_T,A,G,PERCENT,30,35,38
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),32,Argentina,_T,A,G,PERCENT,38,,50
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),51,Armenia,_T,A,G,PERCENT,36,52,46
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),142,Asia,_T,A,G,PERCENT,55,60,64
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),36,Australia,_T,A,G,PERCENT,86,88,85
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),53,Australia and New Zealand,_T,A,G,PERCENT,72,77,74
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),40,Austria,_T,A,G,PERCENT,91,91,91
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),31,Azerbaijan,_T,A,G,PERCENT,66,57,55
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),44,Bahamas,_T,A,G,PERCENT,33,34,40
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),48,Bahrain,_T,A,G,PERCENT,40,39,59
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),50,Bangladesh,_T,A,G,PERCENT,50,58,64
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),52,Barbados,_T,A,G,PERCENT,42,46,51
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),112,Belarus,_T,A,G,PERCENT,38,54,64
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),56,Belgium,_T,A,G,PERCENT,78,82,82
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),84,Belize,_T,A,G,PERCENT,20,21,32
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),204,Benin,_T,A,G,PERCENT,63,68,68
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),64,Bhutan,_T,A,G,PERCENT,32,33,
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),68,Bolivia (Plurinational State of),_T,A,G,PERCENT,49,52,55
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),70,Bosnia and Herzegovina,_T,A,G,PERCENT,61,53,65
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),72,Botswana,_T,A,G,PERCENT,41,48,56
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),76,Brazil,_T,A,G,PERCENT,51,63,51
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),96,Brunei Darussalam,_T,A,G,PERCENT,,70,70
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),100,Bulgaria,_T,A,G,PERCENT,60,69,68
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),854,Burkina Faso,_T,A,G,PERCENT,63,66,70
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),108,Burundi,_T,A,G,PERCENT,32,47,48
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),132,Cabo Verde,_T,A,G,PERCENT,64,62,62
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),116,Cambodia,_T,A,G,PERCENT,46,59,62
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),120,Cameroon,_T,A,G,PERCENT,34,40,49
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),124,Canada,_T,A,G,PERCENT,,,73
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),29,Caribbean,_T,A,G,PERCENT,57,59,19
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),140,Central African Republic,_T,A,G,PERCENT,31,37,44
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),13,Central America,_T,A,G,PERCENT,45,39,40
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),62,Central and Southern Asia,_T,A,G,PERCENT,37,43,55
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),143,Central Asia,_T,A,G,PERCENT,36,48,53
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),148,Chad,_T,A,G,PERCENT,32,37,38
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),152,Chile,_T,A,G,PERCENT,23,32,26
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),156,China,_T,A,G,PERCENT,75,80,81
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),170,Colombia,_T,A,G,PERCENT,50,57,41
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),174,Comoros,_T,A,G,PERCENT,26,20,25
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),178,Congo,_T,A,G,PERCENT,32,43,48
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),188,Costa Rica,_T,A,G,PERCENT,43,51,51
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),384,Côte d'Ivoire,_T,A,G,PERCENT,32,40,49
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),191,Croatia,_T,A,G,PERCENT,90,90,90
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),192,Cuba,_T,A,G,PERCENT,80,82,
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),196,Cyprus,_T,A,G,PERCENT,91,93,93
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),203,Czechia,_T,A,G,PERCENT,79,80,80
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),408,Democratic People's Republic of Korea,_T,A,G,PERCENT,38,63,
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),180,Democratic Republic of the Congo,_T,A,G,PERCENT,31,32,40
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),208,Denmark,_T,A,G,PERCENT,93,95,95
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),262,Djibouti,_T,A,G,PERCENT,,,24
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),212,Dominica,_T,A,G,PERCENT,40,47,53
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),214,Dominican Republic,_T,A,G,PERCENT,36,36,39
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),14,Eastern Africa,_T,A,G,PERCENT,42,49,51
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),753,Eastern and South-Eastern Asia,_T,A,G,PERCENT,52,62,66
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),30,Eastern Asia,_T,A,G,PERCENT,71,76,77
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),151,Eastern Europe,_T,A,G,PERCENT,76,85,92
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),218,Ecuador,_T,A,G,PERCENT,42,38,26
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),818,Egypt,_T,A,G,PERCENT,40,56,63
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),222,El Salvador,_T,A,G,PERCENT,21,23,38
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),226,Equatorial Guinea,_T,A,G,PERCENT,24,23,23
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),232,Eritrea,_T,A,G,PERCENT,,,37
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),233,Estonia,_T,A,G,PERCENT,80,85,89
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),748,Eswatini,_T,A,G,PERCENT,53,59,58
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),231,Ethiopia,_T,A,G,PERCENT,31,41,41
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),150,Europe,_T,A,G,PERCENT,77,85,90
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),513,Europe and Northern America,_T,A,G,PERCENT,67,72,75
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),242,Fiji,_T,A,G,PERCENT,,56,56
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),246,Finland,_T,A,G,PERCENT,75,80,80
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),250,France,_T,A,G,PERCENT,100,100,100
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),266,Gabon,_T,A,G,PERCENT,14,29,33
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),270,Gambia,_T,A,G,PERCENT,30,31,37
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),268,Georgia,_T,A,G,PERCENT,35,44,54
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),276,Germany,_T,A,G,PERCENT,88,89,88
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),288,Ghana,_T,A,G,PERCENT,49,57,60
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),300,Greece,_T,A,G,PERCENT,83,86,85
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),308,Grenada,_T,A,G,PERCENT,25,31,35
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),320,Guatemala,_T,A,G,PERCENT,25,21,33
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),324,Guinea,_T,A,G,PERCENT,24,25,40
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),624,Guinea-Bissau,_T,A,G,PERCENT,,19,23
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),328,Guyana,_T,A,G,PERCENT,16,19,28
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),332,Haiti,_T,A,G,PERCENT,29,30,
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),340,Honduras,_T,A,G,PERCENT,21,25,34
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),348,Hungary,_T,A,G,PERCENT,73,75,76
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),352,Iceland,_T,A,G,PERCENT,52,69,75
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),356,India,_T,A,G,PERCENT,,45,75
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),360,Indonesia,_T,A,G,PERCENT,48,66,70
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),364,Iran (Islamic Republic of),_T,A,G,PERCENT,59,40,
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),368,Iraq,_T,A,G,PERCENT,25,38,44
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),372,Ireland,_T,A,G,PERCENT,81,81,87
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),376,Israel,_T,A,G,PERCENT,85,85,89
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),380,Italy,_T,A,G,PERCENT,55,77,78
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),388,Jamaica,_T,A,G,PERCENT,43,50,51
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),392,Japan,_T,A,G,PERCENT,94,95,95
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),400,Jordan,_T,A,G,PERCENT,63,64,64
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),398,Kazakhstan,_T,A,G,PERCENT,30,46,51
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),404,Kenya,_T,A,G,PERCENT,53,59,62
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),414,Kuwait,_T,A,G,PERCENT,82,94,95
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),417,Kyrgyzstan,_T,A,G,PERCENT,,31,38
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),432,Landlocked developing countries (LLDCs),_T,A,G,PERCENT,40,46,49
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),418,Lao People's Democratic Republic,_T,A,G,PERCENT,49,62,68
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),419,Latin America and the Caribbean,_T,A,G,PERCENT,35,37,39
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),428,Latvia,_T,A,G,PERCENT,64,62,62
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),199,Least Developed Countries (LDCs),_T,A,G,PERCENT,38,43,45
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),422,Lebanon,_T,A,G,PERCENT,32,25,33
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),426,Lesotho,_T,A,G,PERCENT,33,45,53
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),430,Liberia,_T,A,G,PERCENT,15,15,22
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),434,Libya,_T,A,G,PERCENT,47,60,
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),438,Liechtenstein,_T,A,G,PERCENT,70,72,73
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),440,Lithuania,_T,A,G,PERCENT,57,61,61
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),442,Luxembourg,_T,A,G,PERCENT,90,89,92
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),450,Madagascar,_T,A,G,PERCENT,36,38,39
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),454,Malawi,_T,A,G,PERCENT,40,55,58
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),458,Malaysia,_T,A,G,PERCENT,43,63,73
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),462,Maldives,_T,A,G,PERCENT,35,42,50
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),466,Mali,_T,A,G,PERCENT,53,52,53
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),470,Malta,_T,A,G,PERCENT,75,86,89
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),584,Marshall Islands,_T,A,G,PERCENT,33,36,36
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),478,Mauritania,_T,A,G,PERCENT,45,47,53
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),480,Mauritius,_T,A,G,PERCENT,64,68,68
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),54,Melanesia,_T,A,G,PERCENT,26,22,21
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),484,Mexico,_T,A,G,PERCENT,49,42,41
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),57,Micronesia,_T,A,G,PERCENT,,,24
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),583,Micronesia (Federated States of),_T,A,G,PERCENT,38,49,49
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),17,Middle Africa,_T,A,G,PERCENT,32,40,45
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),492,Monaco,_T,A,G,PERCENT,90,94,99
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),496,Mongolia,_T,A,G,PERCENT,43,45,57
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),499,Montenegro,_T,A,G,PERCENT,34,35,35
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),504,Morocco,_T,A,G,PERCENT,64,71,70
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),508,Mozambique,_T,A,G,PERCENT,55,62,66
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),104,Myanmar,_T,A,G,PERCENT,27,33,38
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),516,Namibia,_T,A,G,PERCENT,59,53,60
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),524,Nepal,_T,A,G,PERCENT,33,37,37
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),528,Netherlands (Kingdom of the),_T,A,G,PERCENT,93,92,90
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),554,New Zealand,_T,A,G,PERCENT,58,65,62
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),558,Nicaragua,_T,A,G,PERCENT,,30,42
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),562,Niger,_T,A,G,PERCENT,50,53,52
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),566,Nigeria,_T,A,G,PERCENT,35,44,47
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),807,North Macedonia,_T,A,G,PERCENT,22,33,39
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),15,Northern Africa,_T,A,G,PERCENT,46,52,41
