Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",4,Afghanistan,_T,A,G,PERCENT,23,23,
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",2,Africa,_T,A,G,PERCENT,46,53,53
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",8,Albania,_T,A,G,PERCENT,40,49,51
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",12,Algeria,_T,A,G,PERCENT,40,49,56
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",19,Americas,_T,A,G,PERCENT,62,71,66
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",20,Andorra,_T,A,G,PERCENT,23,23,23
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",24,Angola,_T,A,G,PERCENT,45,69,69
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",28,Antigua and Barbuda,_T,A,G,PERCENT,32,28,23
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",32,Argentina,_T,A,G,PERCENT,39,,54
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",51,Armenia,_T,A,G,PERCENT,42,61,50
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",142,Asia,_T,A,G,PERCENT,55,60,68
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",36,Australia,_T,A,G,PERCENT,83,85,85
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",53,Australia and New Zealand,_T,A,G,PERCENT,75,79,79
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",40,Austria,_T,A,G,PERCENT,100,92,91
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",31,Azerbaijan,_T,A,G,PERCENT,55,66,49
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",44,Bahamas,_T,A,G,PERCENT,34,37,42
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",48,Bahrain,_T,A,G,PERCENT,28,28,60
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",50,Bangladesh,_T,A,G,PERCENT,50,59,66
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",52,Barbados,_T,A,G,PERCENT,30,38,45
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",112,Belarus,_T,A,G,PERCENT,36,50,69
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",56,Belgium,_T,A,G,PERCENT,83,83,83
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",84,Belize,_T,A,G,PERCENT,28,20,28
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",204,Benin,_T,A,G,PERCENT,70,69,70
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",64,Bhutan,_T,A,G,PERCENT,36,36,
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",68,Bolivia (Plurinational State of),_T,A,G,PERCENT,60,60,66
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",70,Bosnia and Herzegovina,_T,A,G,PERCENT,66,60,82
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",72,Botswana,_T,A,G,PERCENT,48,44,54
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",76,Brazil,_T,A,G,PERCENT,60,71,61
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",96,Brunei Darussalam,_T,A,G,PERCENT,,87,87
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",100,Bulgaria,_T,A,G,PERCENT,62,77,75
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",854,Burkina Faso,_T,A,G,PERCENT,73,74,77
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",108,Burundi,_T,A,G,PERCENT,40,50,57
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",132,Cabo Verde,_T,A,G,PERCENT,76,78,77
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",116,Cambodia,_T,A,G,PERCENT,54,61,66
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",120,Cameroon,_T,A,G,PERCENT,30,37,40
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",124,Canada,_T,A,G,PERCENT,,,79
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",29,Caribbean,_T,A,G,PERCENT,50,56,16
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",140,Central African Republic,_T,A,G,PERCENT,50,53,61
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",13,Central America,_T,A,G,PERCENT,58,45,47
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",62,Central and Southern Asia,_T,A,G,PERCENT,40,43,56
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",143,Central Asia,_T,A,G,PERCENT,35,40,48
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",148,Chad,_T,A,G,PERCENT,35,43,40
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",152,Chile,_T,A,G,PERCENT,18,19,29
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",156,China,_T,A,G,PERCENT,75,83,84
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",170,Colombia,_T,A,G,PERCENT,55,57,51
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",174,Comoros,_T,A,G,PERCENT,27,37,35
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",178,Congo,_T,A,G,PERCENT,35,49,53
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",188,Costa Rica,_T,A,G,PERCENT,30,49,49
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",384,Côte d'Ivoire,_T,A,G,PERCENT,35,34,40
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",191,Croatia,_T,A,G,PERCENT,97,97,97
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",192,Cuba,_T,A,G,PERCENT,70,80,
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",196,Cyprus,_T,A,G,PERCENT,100,97,97
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",203,Czechia,_T,A,G,PERCENT,88,87,87
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",408,Democratic People's Republic of Korea,_T,A,G,PERCENT,35,84,
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",180,Democratic Republic of the Congo,_T,A,G,PERCENT,27,36,44
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",208,Denmark,_T,A,G,PERCENT,92,94,94
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",262,Djibouti,_T,A,G,PERCENT,,,26
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",212,Dominica,_T,A,G,PERCENT,18,25,25
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",214,Dominican Republic,_T,A,G,PERCENT,32,32,24
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",14,Eastern Africa,_T,A,G,PERCENT,48,56,58
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",753,Eastern and South-Eastern Asia,_T,A,G,PERCENT,52,67,73
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",30,Eastern Asia,_T,A,G,PERCENT,72,80,83
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",151,Eastern Europe,_T,A,G,PERCENT,83,96,94
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",218,Ecuador,_T,A,G,PERCENT,38,40,27
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",818,Egypt,_T,A,G,PERCENT,47,59,61
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",222,El Salvador,_T,A,G,PERCENT,20,26,34
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",226,Equatorial Guinea,_T,A,G,PERCENT,40,40,40
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",232,Eritrea,_T,A,G,PERCENT,,,54
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",233,Estonia,_T,A,G,PERCENT,83,91,94
