"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Level/Status","Observation Status","Reporting Type","Units","2017","2020","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","4","Afghanistan","_T","A","G","PERCENT","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","2","Africa","_T","A","G","PERCENT","36","40","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","8","Albania","_T","A","G","PERCENT","16","33","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","12","Algeria","_T","A","G","PERCENT","60","60","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","19","Americas","_T","A","G","PERCENT","44","55","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","20","Andorra","_T","A","G","PERCENT","35","35","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","24","Angola","_T","A","G","PERCENT","28","43","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","28","Antigua and Barbuda","_T","A","G","PERCENT","15","20","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","32","Argentina","_T","A","G","PERCENT","32","","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","51","Armenia","_T","A","G","PERCENT","34","54","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","142","Asia","_T","A","G","PERCENT","49","56","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
