Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",4,Afghanistan,_T,A,G,PERCENT,12,13,
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",2,Africa,_T,A,G,PERCENT,48,54,54
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",8,Albania,_T,A,G,PERCENT,65,58,62
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",12,Algeria,_T,A,G,PERCENT,42,51,55
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",19,Americas,_T,A,G,PERCENT,60,69,59
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",20,Andorra,_T,A,G,PERCENT,41,41,41
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",24,Angola,_T,A,G,PERCENT,38,67,69
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",28,Antigua and Barbuda,_T,A,G,PERCENT,33,47,56
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",32,Argentina,_T,A,G,PERCENT,48,,47
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",51,Armenia,_T,A,G,PERCENT,40,46,43
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",142,Asia,_T,A,G,PERCENT,55,59,65
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",36,Australia,_T,A,G,PERCENT,88,89,86
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",53,Australia and New Zealand,_T,A,G,PERCENT,67,77,74
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",40,Austria,_T,A,G,PERCENT,95,95,92
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",31,Azerbaijan,_T,A,G,PERCENT,59,61,61
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",44,Bahamas,_T,A,G,PERCENT,31,30,38
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",48,Bahrain,_T,A,G,PERCENT,48,48,66
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",50,Bangladesh,_T,A,G,PERCENT,49,60,67
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",52,Barbados,_T,A,G,PERCENT,48,60,66
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",112,Belarus,_T,A,G,PERCENT,35,56,67
