"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Level/Status","Observation Status","Reporting Type","Units","2017","2020","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","4","Afghanistan","_T","A","G","PERCENT","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","2","Africa","_T","A","G","PERCENT","42","47","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","8","Albania","_T","A","G","PERCENT","51","47","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","12","Algeria","_T","A","G","PERCENT","51","57","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","19","Americas","_T","A","G","PERCENT","53","63","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","20","Andorra","_T","A","G","PERCENT","43","43","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","24","Angola","_T","A","G","PERCENT","38","64","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","28","Antigua and Barbuda","_T","A","G","PERCENT","40","45","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","32","Argentina","_T","A","G","PERCENT","34","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","51","Armenia","_T","A","G","PERCENT","28","47","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","142","Asia","_T","A","G","PERCENT","59","62","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","36","Australia","_T","A","G","PERCENT","88","91","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","53","Australia and New Zealand","_T","A","G","PERCENT","74","78","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","40","Austria","_T","A","G","PERCENT","100","93","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","31","Azerbaijan","_T","A","G","PERCENT","72","54","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","44","Bahamas","_T","A","G","PERCENT","36","40","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","48","Bahrain","_T","A","G","PERCENT","43","41","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","50","Bangladesh","_T","A","G","PERCENT","56","61","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","52","Barbados","_T","A","G","PERCENT","59","63","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","112","Belarus","_T","A","G","PERCENT","58","66","74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","56","Belgium","_T","A","G","PERCENT","78","88","88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","84","Belize","_T","A","G","PERCENT","18","33","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","204","Benin","_T","A","G","PERCENT","62","71","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","64","Bhutan","_T","A","G","PERCENT","38","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","68","Bolivia (Plurinational State of)","_T","A","G","PERCENT","44","51","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
