Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2,Africa,LOWIMP,A,G,PERCENT,,,7
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2,Africa,MHIGIMP,A,G,PERCENT,,,54
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2,Africa,MLOWIMP,A,G,PERCENT,,,37
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),19,Americas,HIGIMP,A,G,PERCENT,,,6
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),19,Americas,LOWIMP,A,G,PERCENT,,,18
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),19,Americas,MHIGIMP,A,G,PERCENT,,,18
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),19,Americas,MLOWIMP,A,G,PERCENT,,,53
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),142,Asia,HIGIMP,A,G,PERCENT,,,21
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),142,Asia,LOWIMP,A,G,PERCENT,,,2
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),142,Asia,MHIGIMP,A,G,PERCENT,,,40
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),142,Asia,MLOWIMP,A,G,PERCENT,,,21
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),142,Asia,VHIGIMP,A,G,PERCENT,,,9
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),53,Australia and New Zealand,HIGIMP,A,G,PERCENT,50,50,50
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),53,Australia and New Zealand,LOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),53,Australia and New Zealand,MHIGIMP,A,G,PERCENT,50,50,50
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),53,Australia and New Zealand,MLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),53,Australia and New Zealand,VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),53,Australia and New Zealand,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),29,Caribbean,LOWIMP,A,G,PERCENT,,,17
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),29,Caribbean,MHIGIMP,A,G,PERCENT,,,25
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),29,Caribbean,MLOWIMP,A,G,PERCENT,,,50
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),13,Central America,MHIGIMP,A,G,PERCENT,,,13
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),13,Central America,MLOWIMP,A,G,PERCENT,,,88
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),62,Central and Southern Asia,HIGIMP,A,G,PERCENT,0,0,8
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),62,Central and Southern Asia,LOWIMP,A,G,PERCENT,30,7,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),62,Central and Southern Asia,MHIGIMP,A,G,PERCENT,10,21,46
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),62,Central and Southern Asia,MLOWIMP,A,G,PERCENT,60,71,31
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),62,Central and Southern Asia,VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),62,Central and Southern Asia,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),143,Central Asia,HIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),143,Central Asia,LOWIMP,A,G,PERCENT,50,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),143,Central Asia,MHIGIMP,A,G,PERCENT,0,20,80
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),143,Central Asia,MLOWIMP,A,G,PERCENT,50,80,20
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),143,Central Asia,VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),143,Central Asia,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),14,Eastern Africa,LOWIMP,A,G,PERCENT,,,11
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),14,Eastern Africa,MHIGIMP,A,G,PERCENT,,,61
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),14,Eastern Africa,MLOWIMP,A,G,PERCENT,,,28
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),753,Eastern and South-Eastern Asia,HIGIMP,A,G,PERCENT,7,13,19
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),753,Eastern and South-Eastern Asia,LOWIMP,A,G,PERCENT,14,6,6
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),753,Eastern and South-Eastern Asia,MHIGIMP,A,G,PERCENT,14,56,50
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),753,Eastern and South-Eastern Asia,MLOWIMP,A,G,PERCENT,50,13,6
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),753,Eastern and South-Eastern Asia,VHIGIMP,A,G,PERCENT,14,13,13
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),753,Eastern and South-Eastern Asia,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),30,Eastern Asia,HIGIMP,A,G,PERCENT,20,40,40
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),30,Eastern Asia,LOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),30,Eastern Asia,MHIGIMP,A,G,PERCENT,20,20,20
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),30,Eastern Asia,MLOWIMP,A,G,PERCENT,40,20,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),30,Eastern Asia,VHIGIMP,A,G,PERCENT,20,20,20
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),30,Eastern Asia,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),151,Eastern Europe,HIGIMP,A,G,PERCENT,,,40
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),151,Eastern Europe,MHIGIMP,A,G,PERCENT,,,40
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),151,Eastern Europe,VHIGIMP,A,G,PERCENT,,,10
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),151,Eastern Europe,VLOWIMP,A,G,PERCENT,,,10
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),150,Europe,HIGIMP,A,G,PERCENT,44,51,51
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),150,Europe,LOWIMP,A,G,PERCENT,5,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),150,Europe,MHIGIMP,A,G,PERCENT,26,21,19
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),150,Europe,MLOWIMP,A,G,PERCENT,16,16,12
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),150,Europe,VHIGIMP,A,G,PERCENT,9,12,16
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),150,Europe,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),513,Europe and Northern America,HIGIMP,A,G,PERCENT,44,52,53
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),513,Europe and Northern America,LOWIMP,A,G,PERCENT,5,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),513,Europe and Northern America,MHIGIMP,A,G,PERCENT,26,21,18
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),513,Europe and Northern America,MLOWIMP,A,G,PERCENT,16,16,11
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),513,Europe and Northern America,VHIGIMP,A,G,PERCENT,9,11,16
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),513,Europe and Northern America,VLOWIMP,A,G,PERCENT,,,2
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),432,Landlocked developing countries (LLDCs),HIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),432,Landlocked developing countries (LLDCs),LOWIMP,A,G,PERCENT,10,6,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),432,Landlocked developing countries (LLDCs),MHIGIMP,A,G,PERCENT,21,44,68
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),432,Landlocked developing countries (LLDCs),MLOWIMP,A,G,PERCENT,69,50,29
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),432,Landlocked developing countries (LLDCs),VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),432,Landlocked developing countries (LLDCs),VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),419,Latin America and the Caribbean,HIGIMP,A,G,PERCENT,3,3,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),419,Latin America and the Caribbean,LOWIMP,A,G,PERCENT,45,36,19
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),419,Latin America and the Caribbean,MHIGIMP,A,G,PERCENT,3,13,19
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),419,Latin America and the Caribbean,MLOWIMP,A,G,PERCENT,48,48,56
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),419,Latin America and the Caribbean,VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),419,Latin America and the Caribbean,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),199,Least Developed Countries (LDCs),HIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),199,Least Developed Countries (LDCs),LOWIMP,A,G,PERCENT,26,21,13
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),199,Least Developed Countries (LDCs),MHIGIMP,A,G,PERCENT,14,33,39
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),199,Least Developed Countries (LDCs),MLOWIMP,A,G,PERCENT,57,47,43
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),199,Least Developed Countries (LDCs),VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),199,Least Developed Countries (LDCs),VLOWIMP,A,G,PERCENT,2,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),54,Melanesia,LOWIMP,A,G,PERCENT,,,50
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),54,Melanesia,MHIGIMP,A,G,PERCENT,,,25
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),54,Melanesia,MLOWIMP,A,G,PERCENT,,,25
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),57,Micronesia,LOWIMP,A,G,PERCENT,,,20
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),57,Micronesia,MLOWIMP,A,G,PERCENT,,,40
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),17,Middle Africa,MHIGIMP,A,G,PERCENT,,,11
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),17,Middle Africa,MLOWIMP,A,G,PERCENT,,,89
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),15,Northern Africa,HIGIMP,A,G,PERCENT,0,17,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),15,Northern Africa,LOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),15,Northern Africa,MHIGIMP,A,G,PERCENT,33,50,67
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),15,Northern Africa,MLOWIMP,A,G,PERCENT,67,33,17
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),15,Northern Africa,VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),15,Northern Africa,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),747,Northern Africa and Western Asia,HIGIMP,A,G,PERCENT,18,26,300
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),747,Northern Africa and Western Asia,LOWIMP,A,G,PERCENT,5,4,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),747,Northern Africa and Western Asia,MHIGIMP,A,G,PERCENT,27,35,150
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),747,Northern Africa and Western Asia,MLOWIMP,A,G,PERCENT,46,26,67
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),747,Northern Africa and Western Asia,VHIGIMP,A,G,PERCENT,5,9,8
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),21,Northern America,HIGIMP,A,G,PERCENT,0,100,100
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),21,Northern America,LOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),21,Northern America,MHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),21,Northern America,MLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),21,Northern America,VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),21,Northern America,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),154,Northern Europe,HIGIMP,A,G,PERCENT,,,70
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),154,Northern Europe,MHIGIMP,A,G,PERCENT,,,20
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),154,Northern Europe,VHIGIMP,A,G,PERCENT,,,10
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),9,Oceania,HIGIMP,A,G,PERCENT,0,18,14
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),9,Oceania,LOWIMP,A,G,PERCENT,30,18,21
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),9,Oceania,MHIGIMP,A,G,PERCENT,20,18,14
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),9,Oceania,MLOWIMP,A,G,PERCENT,40,46,36
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),9,Oceania,VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),9,Oceania,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),543,Oceania (exc. Australia and New Zealand),HIGIMP,A,G,PERCENT,0,11,8
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),543,Oceania (exc. Australia and New Zealand),LOWIMP,A,G,PERCENT,38,22,25
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),543,Oceania (exc. Australia and New Zealand),MHIGIMP,A,G,PERCENT,13,11,8
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),543,Oceania (exc. Australia and New Zealand),MLOWIMP,A,G,PERCENT,50,56,42
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),543,Oceania (exc. Australia and New Zealand),VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),543,Oceania (exc. Australia and New Zealand),VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),61,Polynesia,HIGIMP,A,G,PERCENT,,,33
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),61,Polynesia,MLOWIMP,A,G,PERCENT,,,67
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),722,Small island developing States (SIDS),HIGIMP,A,G,PERCENT,3,6,3
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),722,Small island developing States (SIDS),LOWIMP,A,G,PERCENT,45,32,28
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),722,Small island developing States (SIDS),MHIGIMP,A,G,PERCENT,10,12,19
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),722,Small island developing States (SIDS),MLOWIMP,A,G,PERCENT,39,47,39
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),722,Small island developing States (SIDS),VHIGIMP,A,G,PERCENT,3,3,3
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),722,Small island developing States (SIDS),VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),5,South America,LOWIMP,A,G,PERCENT,,,33
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),5,South America,MHIGIMP,A,G,PERCENT,,,17
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),5,South America,MLOWIMP,A,G,PERCENT,,,42
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),35,South-Eastern Asia,HIGIMP,A,G,PERCENT,0,0,9
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),35,South-Eastern Asia,LOWIMP,A,G,PERCENT,22,9,9
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),35,South-Eastern Asia,MHIGIMP,A,G,PERCENT,11,73,64
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),35,South-Eastern Asia,MLOWIMP,A,G,PERCENT,56,9,9
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),35,South-Eastern Asia,VHIGIMP,A,G,PERCENT,11,9,9
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),35,South-Eastern Asia,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),18,Southern Africa,MHIGIMP,A,G,PERCENT,,,100
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),34,Southern Asia,HIGIMP,A,G,PERCENT,0,0,13
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),34,Southern Asia,LOWIMP,A,G,PERCENT,25,11,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),34,Southern Asia,MHIGIMP,A,G,PERCENT,13,22,25
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),34,Southern Asia,MLOWIMP,A,G,PERCENT,63,67,38
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),34,Southern Asia,VHIGIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),34,Southern Asia,VLOWIMP,A,G,PERCENT,0,0,
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),39,Southern Europe,HIGIMP,A,G,PERCENT,,,43
6,6.5,6.5.1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),39,Southern Europe,MHIGIMP,A,G,PERCENT,,,14
