Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Location,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",4,Afghanistan,ALLAREA,G,PERCENT,11.09333,11.10522,12.00773,12.90992,13.81868,14.73385,15.64843,16.56252,17.47601,18.38888,19.30114,20.21288,21.124,22.03447,22.9443,23.85359,24.76222,25.67142,26.58131,27.49173,28.40251,29.31384,30.0341
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",4,Afghanistan,RURAL,G,PERCENT,8.20749,8.20749,9.13723,10.06696,10.9967,11.92644,12.85617,13.78591,14.71565,15.64538,16.57512,17.50486,18.43459,19.36433,20.29407,21.2238,22.15354,23.08328,24.01301,24.94275,25.87249,26.80222,27.73196
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",4,Afghanistan,URBAN,G,PERCENT,21.27858,21.27858,22.032,22.78542,23.53885,24.29227,25.04569,25.79911,26.55254,27.30596,28.05938,28.8128,29.56623,30.31965,31.07307,31.82649,32.57991,33.33334,34.08676,34.84018,35.5936,36.34703,36.38141
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",8,Albania,ALLAREA,G,PERCENT,49.13832,49.0812,48.98477,48.88545,50.71768,52.57833,54.46708,56.38384,58.32848,60.30091,62.30063,64.3274,66.38085,68.45983,70.56326,70.59197,70.61651,70.63694,70.65335,70.66586,70.67454,70.7058,70.73607
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",12,Algeria,ALLAREA,G,PERCENT,70.07852,70.64219,71.19186,71.72696,72.24755,72.75315,73.24435,73.72072,74.18282,74.62769,75.05681,75.46992,75.86762,76.25014,76.61823,76.97196,76.39486,75.73054,75.03613,73.95388,72.24815,70.54703,70.59793
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",12,Algeria,RURAL,G,PERCENT,51.99715,52.88813,53.78448,54.68619,55.59327,56.50571,57.42352,58.34669,59.27523,60.20913,61.1484,62.09303,63.04303,63.99839,64.95912,65.92521,66.89667,67.87349,68.85568,68.50537,65.83806,63.14955,63.14955
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",12,Algeria,URBAN,G,PERCENT,82.1735,82.1312,82.08869,82.04598,82.00307,81.95995,81.91662,81.87309,81.82935,81.7854,81.74125,81.69689,81.65232,81.60755,81.56258,81.5174,80.18847,78.77819,77.3653,75.9498,74.53171,73.11101,73.11101
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",16,American Samoa,ALLAREA,G,PERCENT,80.57519,81.61671,82.66264,83.71297,84.7677,85.82683,86.89037,87.55782,87.7875,88.01717,88.24684,88.47651,88.70618,88.93586,89.16553,89.3952,89.62487,89.85455,89.85455,89.85455,89.85455,89.85455,
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",20,Andorra,ALLAREA,G,PERCENT,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",51,Armenia,ALLAREA,G,PERCENT,82.35072,82.45862,82.57382,82.69191,82.81056,82.92976,83.04957,83.16992,83.29089,83.26616,83.24159,83.21717,83.19289,83.16902,83.14535,83.07821,82.93473,82.79146,82.95984,82.82285,82.68582,82.54878,82.41172
6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",142,Asia,ALLAREA,G,PERCENT,56.20032,56.73638,57.84898,58.78842,59.74266,60.41016,60.82841,61.25782,61.66911,62.52408,63.37686,64.39292,65.46626,66.52978,67.60425,68.70061,69.78812,70.85865,71.91532,72.95417,73.95465,74.92012,75.69082
