Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Location,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",4,Afghanistan,ALLAREA,G,PERCENT,25.96848,25.94567,25.11353,24.28236,23.43924,22.58481,21.7323,20.8815,20.03266,19.18579,18.34091,17.49785,16.65681,15.81782,14.9809,14.14588,13.31296,12.48017,11.73792,11.00927,10.2836,9.5609,8.84185
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",4,Afghanistan,RURAL,G,PERCENT,31.50419,31.50419,30.57774,29.65129,28.72484,27.79839,26.87194,25.94549,25.01904,24.09259,23.16614,22.23969,21.31324,20.38679,19.46034,18.5339,17.60745,16.681,15.75455,14.8281,13.90165,12.9752,12.04875
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",4,Afghanistan,URBAN,G,PERCENT,6.43079,6.43079,6.03162,5.63245,5.23328,4.83411,4.43494,4.03577,3.63661,3.23744,2.83827,2.4391,2.03993,1.64076,1.24159,0.84242,0.44325,0.04408,0,0,0,0,0
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",8,Albania,ALLAREA,G,PERCENT,0.88885,0.8364,0.7819,0.72819,0.67528,0.6232,0.57193,0.5215,0.4719,0.42317,0.37527,0.32823,0.28204,0.23676,0.19235,0.1488,0.10606,0.06413,0.02623,0,0,0,0
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",8,Albania,RURAL,G,PERCENT,1.21116,1.14755,1.08393,1.02032,0.9567,0.89309,0.82948,0.76586,0.70225,0.63863,0.57502,0.5114,0.44779,0.38418,0.32056,0.25695,0.19333,0.12972,0.0661,0,0,0,0
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",8,Albania,URBAN,G,PERCENT,0.439,0.41431,0.38962,0.36493,0.34024,0.31555,0.29086,0.26617,0.24148,0.21679,0.19209,0.1674,0.14271,0.11802,0.09333,0.06864,0.04395,0.01926,0,0,0,0,0
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",12,Algeria,ALLAREA,G,PERCENT,6.23395,5.81686,5.41118,5.01704,4.63433,4.26313,3.90309,3.55424,3.21628,2.89011,2.575,2.27081,1.97711,1.69361,1.41986,1.15558,0.90035,0.65389,0.4158,0.18574,0,0,0
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",12,Algeria,RURAL,G,PERCENT,14.43394,13.7078,12.98166,12.25552,11.52938,10.80324,10.0771,9.35096,8.62482,7.89868,7.17254,6.4464,5.72027,4.99413,4.26799,3.54185,2.81571,2.08957,1.36343,0.63729,0,0,0
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",12,Algeria,URBAN,G,PERCENT,0.74882,0.71047,0.67213,0.63379,0.59545,0.55711,0.51877,0.48043,0.44208,0.40374,0.3654,0.32706,0.28872,0.25038,0.21203,0.17369,0.13535,0.09701,0.05867,0.02033,0,0,0
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",16,American Samoa,ALLAREA,G,PERCENT,0.50335,0.50335,0.50335,0.50335,0.52354,0.54372,0.56391,0.5841,0.60428,0.62447,0.64465,0.66484,0.68502,0.70521,0.72539,0.74558,0.76577,0.78595,0.78595,0.78595,0.78595,0.78595,
