Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Location,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",4,Afghanistan,ALLAREA,G,PERCENT,,,,,,36.27069,36.35306,36.43625,36.51985,36.60384,37.54379,38.47599,39.39999,40.31572,41.22312,42.12242,43.01323,43.89838,44.77754,45.64958,46.51349,47.36894,48.2147
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",4,Afghanistan,RURAL,G,PERCENT,,,,,,27.10264,27.10264,27.10264,27.10264,27.10264,28.43911,29.77557,31.11203,32.44849,33.78496,35.12142,36.45788,37.79435,39.13081,40.46727,41.80373,43.1402,44.47666
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",4,Afghanistan,URBAN,G,PERCENT,,,,,,67.48516,67.48516,67.48516,67.48516,67.48516,66.7956,66.10605,65.4165,64.72695,64.0374,63.34784,62.65829,61.96874,61.27919,60.58963,59.90008,59.21053,58.52098
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",12,Algeria,ALLAREA,G,PERCENT,,,,,,,,82.9138,83.02934,83.14181,83.25196,83.35933,83.52389,83.68204,83.83419,83.9802,84.12051,84.25496,84.38398,84.50756,84.62598,84.73937,84.8041
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",12,Algeria,RURAL,G,PERCENT,,,,,,,,72.83243,72.83243,72.83243,72.83243,72.83243,73.08251,73.3326,73.58268,73.83276,74.08285,74.33293,74.58301,74.83309,75.08318,75.33326,75.33326
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",12,Algeria,URBAN,G,PERCENT,,,,,,,,88.25962,88.25962,88.25962,88.25962,88.25962,88.23362,88.20761,88.1816,88.15559,88.12959,88.10358,88.07757,88.05156,88.02556,87.99955,87.99955
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",24,Angola,ALLAREA,G,PERCENT,,,,,,,,,,,,,25.94169,26.09392,26.24511,26.3934,26.5392,26.6823,26.8223,26.9598,27.09419,,
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",24,Angola,RURAL,G,PERCENT,,,,,,,,,,,,,13.23489,13.23489,13.23489,13.23489,13.23489,13.23489,13.23489,13.23489,13.23489,,
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",24,Angola,URBAN,G,PERCENT,,,,,,,,,,,,,33.97459,33.97459,33.97459,33.97459,33.97459,33.97459,33.97459,33.97459,33.97459,,
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",51,Armenia,ALLAREA,G,PERCENT,83.24601,83.81407,84.42177,85.04492,85.67044,86.29813,86.92842,87.5609,88.19596,88.83323,89.4729,90.11498,90.75945,91.40915,92.06319,92.7208,93.381,94.04294,94.39592,94.4005,94.40664,94.41437,94.42366
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",51,Armenia,RURAL,G,PERCENT,65.57796,66.99612,68.41428,69.83243,71.25059,72.66875,74.08691,75.50507,76.92322,78.34138,79.75954,81.1777,82.59586,84.01401,85.43217,86.85033,88.26849,89.68665,90.2639,90.2639,90.2639,90.2639,90.2639
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",51,Armenia,URBAN,G,PERCENT,92.89997,93.11703,93.3341,93.55117,93.76824,93.9853,94.20237,94.41944,94.63651,94.85357,95.07064,95.28771,95.50478,95.72184,95.93891,96.15598,96.37305,96.59011,96.80718,96.80718,96.80718,96.80718,96.80718
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",533,Aruba,ALLAREA,G,PERCENT,,,,,,,,,,,,,,,,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",142,Asia,ALLAREA,G,PERCENT,,,,,,,,,,,62.40936,63.88738,65.35269,66.72808,68.11663,70.04387,71.93545,80.40588,81.80759,82.74466,83.6201,84.54028,85.35138
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",142,Asia,RURAL,G,PERCENT,,,,,,,,,,,48.24272,50.12614,52.06998,53.80146,55.57192,58.20839,60.82946,70.89184,72.81779,74.16349,75.46143,76.84206,78.09701
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",142,Asia,URBAN,G,PERCENT,,,,,,,,,,,,,,,,,,90.27452,90.90175,91.21532,91.48587,91.79202,92.02774
6,6.2,6.2.1,SH_SAN_HNDWSH,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",31,Azerbaijan,ALLAREA,G,PERCENT,,,,,,,,,,89.22884,89.23639,89.24445,89.25304,89.26219,89.27186,89.28206,89.29278,89.30402,,,,,
