Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Location,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",8,Albania,ALLAREA,G,PERCENT,26.56686,27.18407,27.7695,28.33333,28.8754,29.69357,30.52526,31.33349,32.11821,32.88006,33.61828,34.33349,35.02541,37.18726,39.37208,41.58021,43.81117,46.06486,48.34123,50.48372,52.58095,54.45248,56.34649
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",8,Albania,URBAN,G,PERCENT,24.91766,24.98107,25.04449,25.1079,25.17132,25.41363,25.73731,26.06158,26.38644,26.71188,27.03791,27.36453,27.69174,29.75529,31.85503,33.99031,36.16049,38.36494,40.60299,42.874,45.17731,47.39934,49.64606
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",12,Algeria,ALLAREA,G,PERCENT,58.85287,59.19371,59.52864,59.85738,60.17999,60.49621,60.80643,61.11042,61.40853,61.69881,61.98217,62.25832,62.31127,62.35397,62.38698,62.41032,62.42451,62.4296,62.42609,62.41413,62.39411,62.36628,62.4101
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",12,Algeria,RURAL,G,PERCENT,48.40426,48.80699,49.20973,49.61246,50.0152,50.41793,50.82066,51.2234,51.62613,52.02886,52.4316,52.83433,53.1562,53.47684,53.79626,54.11446,54.43143,54.74718,55.06171,55.37501,55.68709,55.99795,55.99795
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",12,Algeria,URBAN,G,PERCENT,65.84215,65.91516,65.98817,66.06117,66.13418,66.20718,66.28019,66.35319,66.4262,66.4992,66.57221,66.64522,66.44078,66.23574,66.03009,65.82384,65.61697,65.4095,65.20143,64.99274,64.78345,64.57355,64.57355
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",16,American Samoa,ALLAREA,G,PERCENT,44.59147,44.56232,44.53316,44.50401,44.47486,44.44571,44.41656,44.38741,44.35826,43.54342,42.72962,41.91684,41.1051,40.2944,39.48472,38.67608,37.86848,37.0619,37.0374,37.0129,36.9884,36.9639,36.99415
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",20,Andorra,ALLAREA,G,PERCENT,29.31022,33.90393,38.49764,43.09135,47.68506,52.27876,56.87248,61.46618,66.05989,70.6536,75.24731,79.84102,84.43472,89.02844,93.62214,98.21585,100,100,100,100,100,100,100
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",20,Andorra,RURAL,G,PERCENT,29.31022,33.90393,38.49764,43.09135,47.68506,52.27877,56.87247,61.46618,66.05989,70.6536,75.24731,79.84102,84.43472,89.02843,93.62214,98.21585,100,100,100,100,100,100,100
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",20,Andorra,URBAN,G,PERCENT,29.31022,33.90393,38.49764,43.09135,47.68506,52.27877,56.87247,61.46618,66.05989,70.6536,75.24731,79.84102,84.43472,89.02843,93.62214,98.21585,100,100,100,100,100,100,100
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",32,Argentina,ALLAREA,G,PERCENT,44.71335,44.80421,44.89531,44.98667,45.07831,45.17021,45.26239,45.35483,45.44754,45.54049,45.6337,45.7269,45.82018,45.91216,46.00447,46.09708,46.18997,,,,,,
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",32,Argentina,URBAN,G,PERCENT,44.38012,44.48552,44.59104,44.69668,44.80245,44.90834,45.01436,45.12051,45.22678,45.33317,45.43969,45.54633,45.6531,45.76,45.86701,45.97416,46.08143,46.18882,46.29634,46.25993,46.18843,46.40908,46.21124
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",51,Armenia,ALLAREA,G,PERCENT,14.82663,14.69777,14.53791,14.36556,14.18851,14.01107,13.81329,13.59097,13.3673,13.14279,12.9172,12.69054,12.4628,12.22731,11.98383,11.73186,11.46074,11.16768,10.92667,10.86277,10.8295,10.79483,10.75311
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",51,Armenia,URBAN,G,PERCENT,6.58882,6.24731,5.90333,5.55688,5.20159,4.84379,4.48348,4.12067,3.75536,3.38753,3.01721,2.64437,2.26903,1.89119,1.51084,1.12798,0.7416,0.35313,0.05999,0,0,0,0
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",142,Asia,ALLAREA,G,PERCENT,21.47009,22.18725,23.06236,24.35046,26.03875,27.66819,29.35903,31.15092,32.96665,34.80301,36.66351,38.5439,40.45127,42.39523,44.39743,46.44171,48.5097,50.5709,52.62109,54.67642,56.01536,57.31219,58.56905
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",142,Asia,RURAL,G,PERCENT,10.6699,11.3819,12.33193,13.34499,14.95975,16.50484,18.12893,19.85058,21.61062,23.40956,25.25757,27.17162,29.13405,31.13709,33.21847,35.3495,37.52877,39.69781,41.8582,44.04857,46.0023,47.93165,49.80008
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",142,Asia,URBAN,G,PERCENT,39.5969,39.81538,40.03817,41.23614,42.52252,43.77386,45.07966,46.50506,47.94393,49.39413,50.85449,52.32667,53.8205,55.35365,56.93142,58.55471,60.19413,61.84926,63.50893,65.16739,65.66895,66.14867,66.63932
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",36,Australia,ALLAREA,G,PERCENT,93.56211,93.66469,93.76727,93.86985,93.97242,94.075,94.17758,94.28016,94.38273,94.48531,94.58789,94.69047,94.79304,94.89562,94.9982,95.10078,95.20335,95.30593,95.40873,95.51137,95.61375,95.71612,95.81849
6,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",53,Australia and New Zealand,ALLAREA,G,PERCENT,93.56357,93.66607,93.76857,93.87108,93.97358,94.07608,94.17858,94.28107,94.38356,94.48606,94.58855,94.69105,94.79355,94.89605,94.99855,95.10105,95.20355,95.30605,95.40877,95.51137,95.61375,95.71612,95.81849
