Country,Last,Previous Reference,Date,Unit
Burkina Faso,29.28,30.01,Dec/22,celsius
Mali,29.19,29.78,Dec/22,celsius
Qatar,29.11,29.42,Dec/22,celsius
Senegal,29,29.62,Dec/22,celsius
United Arab Emirates,28.93,29.09,Dec/22,celsius
Mauritania,28.9,29.3,Dec/22,celsius
Bahrain,28.84,29.18,Dec/22,celsius
Aruba,28.82,29.03,Dec/22,celsius
Djibouti,28.6,28.52,Dec/22,celsius
Gambia,28.46,29.03,Dec/22,celsius
Benin,28.09,28.7,Dec/22,celsius
Maldives,28.08,28.14,Dec/22,celsius
Guinea Bissau,28.05,28.68,Dec/22,celsius
Cayman Islands,28.01,27.99,Dec/22,celsius
Oman,27.94,28.1,Dec/22,celsius
Marshall Islands,27.9,28.16,Dec/22,celsius
Kiribati,27.77,27.89,Dec/22,celsius
Ghana,27.73,28.3,Dec/22,celsius
Singapore,27.7,27.75,Dec/22,celsius
Niger,27.61,28.09,Dec/22,celsius
Kuwait,27.58,27.89,Dec/22,celsius
Sudan,27.57,28.17,Dec/22,celsius
Guam,27.54,27.88,Dec/22,celsius
Palau,27.54,27.58,Dec/22,celsius
Samoa,27.53,27.54,Dec/22,celsius
Togo,27.47,28.04,Dec/22,celsius
Micronesia,27.45,27.42,Dec/22,celsius
St Kitts and Nevis,27.34,27.6,Dec/22,celsius
American Samoa,27.31,27.34,Dec/22,celsius
Chad,27.28,27.7,Dec/22,celsius
Cambodia,27.25,27.44,Dec/22,celsius
Northern Mariana Islands,27.25,27.65,Dec/22,celsius
Sri Lanka,27.24,27.4,Dec/22,celsius
Nigeria,27.15,27.67,Dec/22,celsius
Seychelles,27.11,27.26,Dec/22,celsius
Somalia,27.1,26.93,Dec/22,celsius
Antigua and Barbuda,27.06,27.33,Dec/22,celsius
Ivory Coast,26.84,27.37,Dec/22,celsius
Virgin Islands,26.84,27.11,Dec/22,celsius
St Lucia,26.83,27.03,Dec/22,celsius
Thailand,26.78,26.9,Dec/22,celsius
Dominica,26.68,26.9,Dec/22,celsius
Sierra Leone,26.64,27.19,Dec/22,celsius
Philippines,26.61,26.7,Dec/22,celsius
Suriname,26.53,26.56,Dec/22,celsius
Eritrea,26.49,26.88,Dec/22,celsius
Saudi Arabia,26.46,26.8,Dec/22,celsius
Trinidad and Tobago,26.46,26.58,Dec/22,celsius
Barbados,26.45,26.63,Dec/22,celsius
Malaysia,26.35,26.47,Dec/22,celsius
Grenada,26.33,26.49,Dec/22,celsius
Guyana,26.16,26.15,Dec/22,celsius
Cuba,26.14,26.06,Dec/22,celsius
Bahamas,26.05,25.87,Dec/22,celsius
